,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
84,port hardy,50.6996,-127.4199,42.8,75,90,3.44,CA,1613429102
85,mostovskoy,44.4122,40.7936,20.48,97,100,5.14,RU,1613429410
86,bengkulu,-3.8004,102.2655,75.79,87,29,5.61,ID,1613428927
87,los llanos de aridane,28.6585,-17.9182,66.2,77,0,1.14,ES,1613429410
88,vaini,-21.2,-175.2,82.4,78,75,3.44,TO,1613429069
89,telimele,10.9167,-13.3333,67.33,73,13,1.36,GN,1613429410
90,tura,25.5198,90.2201,58.8,34,0,2.75,IN,1613429110
91,lazaro cardenas,17.9583,-102.2,76.19,58,0,10.45,MX,1613429411
92,conde,-7.2597,-34.9075,80.6,89,40,6.91,BR,1613429411
93,impfondo,1.6381,18.0667,75.96,79,97,4.74,CG,1613429411
94,goderich,43.7501,-81.7165,15.8,67,87,11.5,CA,1613429411
95,hithadhoo,-0.6,73.0833,82.02,70,12,3.36,MV,1613429119
96,esperance,-33.8667,121.9,66.2,59,0,16.11,AU,1613429076
97,arraial do cabo,-22.9661,-42.0278,77.85,88,93,8.23,BR,1613429073
98,new norfolk,-42.7826,147.0587,64.99,67,65,1.01,AU,1613429085
99,abonnema,4.7084,6.7931,80.38,82,98,7.63,NG,1613429412
100,rawson,-43.3002,-65.1023,60.1,55,0,16.67,AR,1613429412
101,vao,-22.6667,167.4833,79.84,82,15,13.38,NC,1613429101
102,tynda,55.1667,124.7167,-25.29,80,59,5.01,RU,1613429412
103,coihaique,-45.5752,-72.0662,75.2,29,0,11.5,CL,1613429098
104,qaanaaq,77.484,-69.3632,-7.35,86,16,4.14,GL,1613429078
105,kiama,-34.6833,150.8667,70.0,95,86,1.99,AU,1613429083
106,provideniya,64.3833,-173.3,8.6,61,20,29.08,RU,1613429081
107,lewiston,44.1003,-70.2148,26.6,68,90,2.26,US,1613429265
108,lewistown,40.5992,-77.5714,30.99,100,90,6.91,US,1613429413
109,wasilla,61.5814,-149.4394,28.0,50,1,1.19,US,1613429106
110,clyde river,70.4692,-68.5914,-20.2,83,20,9.22,CA,1613429122
111,ponta do sol,32.6667,-17.1,63.0,77,20,5.75,PT,1613429102
112,saldanha,-33.0117,17.9442,62.6,55,0,12.66,ZA,1613429084
113,cao bang,22.6667,106.25,59.18,88,100,0.51,VN,1613429414
114,port alfred,-33.5906,26.891,64.99,87,40,10.18,ZA,1613429107
115,khatanga,71.9667,102.5,-29.47,82,0,8.95,RU,1613429414
116,solone,48.2081,34.8721,14.0,73,0,11.18,UA,1613429414
117,saint-pierre,-21.3393,55.4781,78.8,69,0,5.75,RE,1613429414
118,chimbote,-9.0853,-78.5783,74.66,70,18,10.63,PE,1613429414
119,tommot,58.9564,126.2925,-17.37,84,99,5.14,RU,1613429415
120,chokurdakh,70.6333,147.9167,-22.92,86,55,5.06,RU,1613429071
121,srednekolymsk,67.45,153.6833,-17.37,88,99,2.28,RU,1613429065
122,bonavista,48.6499,-53.1147,28.0,74,99,4.61,CA,1613429149
123,faanui,-16.4833,-151.75,82.51,71,100,12.08,PF,1613429114
124,praia,14.9215,-23.5087,71.6,68,0,13.8,CV,1613429060
125,pokhara,28.2333,83.9833,53.04,44,6,6.8,NP,1613429319
126,krasnoselkup,65.7,82.4667,-1.26,92,100,12.08,RU,1613429119
127,port hedland,-20.3167,118.5667,77.0,94,90,11.5,AU,1613429135
128,beyneu,45.3167,55.2,37.45,84,99,8.05,KZ,1613429416
129,kulhudhuffushi,6.6221,73.07,80.47,63,1,4.92,MV,1613429420
130,ahero,-0.1746,34.9163,68.34,70,34,3.71,KE,1613429420
131,upernavik,72.7868,-56.1549,-4.97,90,100,5.5,GL,1613429069
132,poya,-21.35,165.15,83.16,69,5,2.21,NC,1613429290
133,porto torres,40.835,8.3972,50.0,50,0,3.44,IT,1613429420
134,mount gambier,-37.8333,140.7667,59.0,94,60,4.61,AU,1613429112
135,hornepayne,49.2138,-84.7705,-3.91,90,61,4.74,CA,1613429421
136,ancud,-41.8697,-73.8203,64.4,52,0,9.22,CL,1613429128
137,acarau,-2.8856,-40.12,79.25,88,100,10.04,BR,1613429421
138,lorengau,-2.0226,147.2712,83.05,76,100,13.33,PG,1613429106
139,high level,58.5169,-117.136,-0.4,71,75,4.61,CA,1613429421
140,santa cruz,-17.8,-63.1667,78.8,78,75,21.85,BO,1613429421
141,pimentel,-6.8367,-79.9342,78.8,65,0,19.57,PE,1613429421
142,korla,41.7597,86.1469,33.03,80,1,4.52,CN,1613429421
143,barra dos coqueiros,-10.9089,-37.0386,80.6,74,20,12.66,BR,1613429422
144,codrington,-38.2667,141.9667,71.47,56,80,4.03,AU,1613429086
145,shimoda,34.6667,138.95,39.0,63,0,3.0,JP,1613429423
146,yerbogachen,61.2767,108.0108,-35.48,82,0,3.65,RU,1613429124
147,karauli,26.5,77.0167,61.84,39,19,4.54,IN,1613429423
148,airai,-8.9266,125.4092,62.82,100,80,2.39,TL,1613429072
149,georgetown,5.4112,100.3354,77.0,88,20,5.82,MY,1613428812
150,nikolskoye,59.7035,30.7861,21.99,79,75,13.42,RU,1613429071
151,hami,42.8,93.45,28.53,82,0,2.55,CN,1613429078
152,marsabit,2.3284,37.9899,71.28,42,1,8.25,KE,1613429424
153,torbay,47.6666,-52.7314,28.0,74,75,6.91,CA,1613429136
154,bluff,-46.6,168.3333,54.0,67,59,4.0,NZ,1613429056
155,severnoye,56.3491,78.3619,23.11,98,100,6.87,RU,1613429424
156,kodiak,57.79,-152.4072,39.2,87,90,2.98,US,1613429111
157,denizli,37.8402,29.0698,28.4,80,90,12.66,TR,1613429424
158,thompson,55.7435,-97.8558,5.0,72,75,5.75,CA,1613429078
159,ewa beach,21.3156,-158.0072,78.8,69,90,5.75,US,1613429425
160,tirur,10.9,75.9167,77.0,69,20,3.22,IN,1613429425
161,cape town,-33.9258,18.4232,66.0,55,0,18.41,ZA,1613429072
162,gazli,40.1333,63.45,52.57,43,92,5.91,UZ,1613429425
163,avarua,-21.2078,-159.775,84.2,74,0,4.61,CK,1613429086
164,ribeira grande,38.5167,-28.7,56.77,66,22,14.79,PT,1613429115
165,port elizabeth,-33.918,25.5701,62.6,94,90,11.5,ZA,1613429087
166,adrar,20.5022,-10.0711,68.92,23,68,16.02,MR,1613429087
167,barranca,-10.75,-77.7667,74.62,71,16,7.81,PE,1613429343
168,tutoia,-2.7619,-42.2744,80.28,82,97,9.82,BR,1613429083
169,hermanus,-34.4187,19.2345,55.99,86,56,14.5,ZA,1613429071
170,kavieng,-2.5744,150.7967,84.67,72,57,8.25,PG,1613429426
171,rafai,4.95,23.9167,73.87,29,91,2.44,CF,1613429426
172,arkadak,51.9326,43.4978,-11.42,90,0,2.46,RU,1613429426
173,guigue,10.0853,-67.7792,86.0,48,40,5.01,VE,1613429427
174,caravelas,-17.7125,-39.2481,77.63,77,83,9.31,BR,1613429086
175,porto novo,6.4965,2.6036,84.2,84,40,12.66,BJ,1613429427
176,myitkyina,25.3833,97.4,61.41,65,58,2.82,MM,1613429427
177,namatanai,-3.6667,152.4333,83.64,74,84,6.26,PG,1613429427
178,payo,-3.7508,103.6372,73.27,96,99,1.23,ID,1613429427
179,ahipara,-35.1667,173.1667,68.88,87,98,13.27,NZ,1613429428
180,bago,17.3367,96.4797,68.0,94,0,2.3,MM,1613429428
181,cuiluan,47.72,128.648,-12.1,87,100,4.16,CN,1613429428
182,barcelos,41.5388,-8.6151,55.4,94,40,11.5,PT,1613429429
183,lengshuitan,26.4111,111.5956,52.32,86,100,6.06,CN,1613429429
184,lompoc,34.6391,-120.4579,60.8,72,75,18.41,US,1613429058
185,pisco,-13.7,-76.2167,77.0,65,0,19.57,PE,1613429063
186,pathein,16.7833,94.7333,66.15,88,0,5.75,MM,1613429429
187,sawtell,-30.3833,153.1,73.99,78,75,20.71,AU,1613429142
188,cidreira,-30.1811,-50.2056,73.92,85,9,4.47,BR,1613429081
189,trincomalee,8.5711,81.2335,77.99,74,32,9.48,LK,1613429430
190,mar del plata,-38.0023,-57.5575,70.0,100,75,21.23,AR,1613429065
191,nyimba,-14.5566,30.8149,69.04,92,99,3.56,ZM,1613429430
192,dingle,10.9995,122.6711,75.06,89,98,7.49,PH,1613429090
193,iranshahr,27.2025,60.6848,56.1,31,0,2.19,IR,1613429430
194,kruisfontein,-34.0033,24.7314,63.0,76,36,1.99,ZA,1613429110
195,pangkalanbuun,-2.6833,111.6167,72.05,94,95,2.48,ID,1613429432
196,brumado,-14.2036,-41.6653,79.86,55,100,3.69,BR,1613429237
197,port macquarie,-31.4333,152.9167,75.0,93,33,1.99,AU,1613429226
198,alice springs,-23.7,133.8833,73.4,43,52,5.75,AU,1613429133
199,cherskiy,68.75,161.3,-11.9,90,100,3.65,RU,1613429073
200,kimbe,-5.5502,150.1429,84.36,68,94,3.04,PG,1613429122
201,san pedro,14.35,121.0167,78.01,78,20,2.3,PH,1613429433
202,deputatskiy,69.3,139.9,-26.27,87,2,1.16,RU,1613429150
203,ujjain,23.1833,75.7667,62.06,43,0,3.04,IN,1613429422
204,college,64.8569,-147.8028,7.0,71,75,0.67,US,1613429433
205,zhangye,38.9342,100.4517,27.81,79,56,2.3,CN,1613429433
206,nizhnyaya omka,55.4338,74.9426,10.94,96,97,8.41,RU,1613429433
207,rio gallegos,-51.6226,-69.2181,66.2,32,0,16.11,AR,1613429434
208,sao joao da barra,-21.6403,-41.0511,77.45,89,100,15.9,BR,1613429434
209,aklavik,68.2191,-135.0107,-4.0,71,90,5.75,CA,1613429114
210,alofi,-19.0595,-169.9187,84.2,74,40,9.22,NU,1613429096
211,lavrentiya,65.5833,-171.0,-11.24,86,3,10.87,RU,1613429070
212,rincon,32.296,-81.2354,55.4,94,90,5.75,US,1613429434
213,evensk,61.95,159.2333,10.17,89,100,2.48,RU,1613429434
214,salekhard,66.53,66.6019,-15.95,85,100,15.05,RU,1613429435
215,zheleznodorozhnyy,55.7503,38.0042,-5.01,84,20,4.72,RU,1613429435
216,grindavik,63.8424,-22.4338,37.4,87,40,11.5,IS,1613429140
217,longyearbyen,78.2186,15.6401,26.6,93,75,2.3,SJ,1613429096
218,leningradskiy,69.3833,178.4167,-13.52,86,0,3.76,RU,1613429064
219,altay,47.8667,88.1167,17.4,67,0,2.73,CN,1613429435
220,narsaq,60.9167,-46.05,23.0,58,90,12.66,GL,1613429064
221,khanpur,28.6453,70.6567,59.54,31,0,6.87,PK,1613429435
222,tuatapere,-46.1333,167.6833,54.0,67,88,4.0,NZ,1613429104
223,calamar,10.2511,-74.9146,84.2,74,40,14.97,CO,1613429436
224,vostok,46.4856,135.8833,-0.53,93,100,7.96,RU,1613429436
225,antofagasta,-23.65,-70.4,71.6,68,20,13.8,CL,1613429436
226,dzhebariki-khaya,62.2167,135.8,-25.37,85,75,0.67,RU,1613429436
227,aljezur,37.3191,-8.8033,56.95,83,98,17.29,PT,1613429437
228,nouadhibou,20.931,-17.0347,73.4,46,94,11.5,MR,1613429113
229,port lincoln,-34.7333,135.8667,71.82,61,4,10.54,AU,1613429133
230,marathon,44.9,-89.7668,5.0,43,1,10.36,US,1613429370
231,luohe,33.5717,114.0353,39.51,72,58,8.99,CN,1613429437
232,jertih,5.7336,102.4897,73.4,88,20,3.44,MY,1613429438
233,hovd,48.0056,91.6419,9.3,88,19,1.63,MN,1613429088
234,lac du bonnet,50.2536,-96.0612,-6.48,88,0,4.97,CA,1613429438
235,mareeba,-17.0,145.4333,80.01,89,90,1.14,AU,1613429438
236,mnogovershinnyy,53.9353,139.9242,0.25,94,100,9.01,RU,1613429438
237,mackay,-21.15,149.2,78.8,83,90,19.57,AU,1613429438
238,ovalle,-30.5983,-71.2003,72.5,48,0,6.51,CL,1613429439
239,otradnoye,59.7775,30.8181,21.99,79,75,13.42,RU,1613429439
240,gimli,50.6336,-96.9907,-4.0,59,0,10.36,CA,1613429225
241,gornopravdinsk,60.05,69.9,-12.55,89,95,5.41,RU,1613429082
242,khash,28.2211,61.2158,43.29,50,0,1.95,IR,1613429439
243,flinders,-34.5833,150.8552,70.0,90,83,1.01,AU,1613429439
244,banjar,-8.19,114.9675,77.0,94,20,1.14,ID,1613429440
245,katobu,-4.9408,122.5276,77.54,88,100,3.04,ID,1613429440
246,majene,-3.5403,118.9707,78.04,77,79,3.53,ID,1613429440
247,fenoarivo atsinanana,-17.3667,49.4167,75.33,88,100,3.58,MG,1613429440
248,abnub,27.2696,31.1511,55.4,62,0,5.75,EG,1613429440
249,hermosillo,29.0667,-110.9667,70.0,18,91,1.99,MX,1613429299
250,sumkino,58.1108,68.3244,-7.89,91,97,5.08,RU,1613429440
251,axim,4.8699,-2.2405,80.49,85,35,8.14,GH,1613429441
252,diego de almagro,-26.3667,-70.05,71.64,34,0,8.48,CL,1613429289
253,garmsar,35.2182,52.3409,50.56,41,0,1.95,IR,1613429441
254,harper,4.375,-7.7169,79.14,89,100,5.37,LR,1613429441
255,ballina,-28.8667,153.5667,71.6,94,75,8.05,AU,1613428880
256,yulara,-25.2406,130.9889,75.2,33,0,9.22,AU,1613429083
257,lagoa,39.05,-27.9833,55.85,67,0,18.3,PT,1613429146
258,itaqui,-29.1253,-56.5531,76.77,65,17,7.43,BR,1613429427
259,asau,46.4333,26.4,18.0,54,65,3.71,RO,1613429442
260,fort nelson,58.8053,-122.7002,3.2,66,75,2.3,CA,1613429423
261,ponta delgada,37.7333,-25.6667,55.4,71,20,18.41,PT,1613429443
262,margate,51.3813,1.3862,48.0,86,100,4.0,GB,1613429443
263,kainan,34.15,135.2,44.6,57,20,14.97,JP,1613429444
264,beringovskiy,63.05,179.3167,-7.19,88,99,16.87,RU,1613429139
265,kavaratti,10.5669,72.642,80.31,62,31,6.24,IN,1613429164
266,itaueira,-7.6033,-43.0256,73.36,95,100,6.91,BR,1613429446
267,yellandu,17.6,80.3333,63.77,82,0,2.28,IN,1613429446
268,taunggyi,20.7833,97.0333,49.91,55,0,0.96,MM,1613429446
269,nemuro,43.3236,145.575,38.46,77,100,48.18,JP,1613429446
270,aitape,-3.1374,142.3475,81.63,76,97,6.33,PG,1613429447
271,koumac,-20.5667,164.2833,83.79,65,0,2.19,NC,1613429447
272,omaruru,-21.4333,15.9333,68.4,53,49,2.64,NA,1613429447
273,saint anthony,45.0205,-93.218,-0.4,38,1,4.61,US,1613429447
274,baghdad,33.3406,44.4009,62.6,55,0,11.5,IQ,1613429174
275,oriximina,-1.7656,-55.8661,75.99,92,100,3.18,BR,1613429449
276,banda aceh,5.5577,95.3222,78.03,82,62,11.45,ID,1613429449
277,marovoay,-16.1,46.6333,77.0,94,40,4.61,MG,1613429449
278,urbino,43.7298,12.6356,36.0,74,75,4.61,IT,1613429449
279,santa lucia,27.9117,-15.5407,75.2,25,0,4.61,ES,1613429449
280,diffa,13.3154,12.6113,72.32,19,0,9.44,NE,1613429449
281,maragogi,-9.0122,-35.2225,79.48,81,86,7.72,BR,1613429067
282,mount isa,-20.7333,139.5,80.6,50,1,2.3,AU,1613429138
283,usagara,-2.6833,33.0,68.74,84,100,2.48,TZ,1613429450
284,poum,-20.2333,164.0167,81.16,72,0,2.53,NC,1613429450
285,arrifes,37.7667,-25.7,55.4,71,20,18.41,PT,1613429450
286,mehamn,71.0357,27.8492,26.6,80,90,8.05,NO,1613429137
287,bathsheba,13.2167,-59.5167,78.8,61,40,18.41,BB,1613429083
288,blind river,46.1834,-82.9582,10.4,56,1,11.5,CA,1613429451
289,santiago,-33.4569,-70.6483,75.0,53,20,6.91,CL,1613429218
290,warrnambool,-38.3833,142.4833,66.99,85,76,5.99,AU,1613429452
291,havelock,34.8791,-76.9013,48.99,100,90,4.61,US,1613429216
292,shatalovo,54.334,32.4465,-9.38,91,30,3.06,RU,1613429452
293,visby,57.6409,18.296,26.01,93,100,5.75,SE,1613429452
294,burns lake,54.2331,-125.7533,21.2,79,100,1.14,CA,1613428932
295,alyangula,-13.8483,136.4192,84.2,84,100,6.91,AU,1613429452
296,kirksville,40.1948,-92.5833,-2.0,71,90,11.5,US,1613429452
297,dikson,73.5069,80.5464,-27.22,81,46,10.45,RU,1613429087
298,dongsheng,39.8161,109.9776,15.57,78,2,9.26,CN,1613429453
299,fairbanks,64.8378,-147.7164,3.99,77,1,0.56,US,1613428848
300,nioro,13.35,-15.75,74.57,23,100,6.96,GM,1613429453
301,luderitz,-26.6481,15.1594,66.27,54,0,23.94,NA,1613429057
302,honiara,-9.4333,159.95,85.66,66,83,3.42,SB,1613429111
303,douentza,14.9951,-2.9517,76.6,17,0,2.84,ML,1613429454
304,karwar,14.8,74.1333,71.01,86,3,5.14,IN,1613429454
305,tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,5.12,CA,1613429069
306,tanabe,33.7333,135.3667,41.74,67,4,21.43,JP,1613429454
307,bemidji,47.4736,-94.8803,1.4,39,1,4.61,US,1613429403
308,husavik,66.0449,-17.3389,37.4,81,0,5.75,IS,1613429164
309,kaeo,-35.1,173.7833,71.62,78,77,12.28,NZ,1613429456
310,montepuez,-13.1256,38.9997,70.83,97,100,8.84,MZ,1613429456
311,coahuayana,18.7333,-103.6833,75.2,50,1,7.47,MX,1613429144
312,osakarovka,50.565,72.5692,26.69,98,90,14.56,KZ,1613429456
313,atar,20.5169,-13.0499,71.83,20,34,12.91,MR,1613429185
314,saraland,30.8207,-88.0706,44.6,81,90,13.8,US,1613429456
315,khani,41.9563,42.9566,44.6,93,90,5.75,GE,1613429134
316,patacamaya,-17.2333,-67.9167,54.37,48,97,7.16,BO,1613429456
317,nantucket,41.2835,-70.0995,37.99,100,90,9.22,US,1613428880
318,hasaki,35.7333,140.8333,46.4,53,20,5.75,JP,1613429457
319,ihosy,-22.4,46.1167,68.05,92,100,3.15,MG,1613429457
320,touros,-5.1989,-35.4608,82.4,74,40,12.66,BR,1613429458
321,zaoyang,32.1272,112.7542,39.9,86,96,2.17,CN,1613429458
322,talcahuano,-36.7167,-73.1167,64.4,72,0,11.5,CL,1613429415
323,kampot,10.6167,104.1833,77.0,78,40,1.14,KH,1613429458
324,teghra,25.4833,85.95,56.08,63,0,4.0,IN,1613429458
325,xinmin,41.9908,122.8253,1.4,78,8,4.47,CN,1613429189
326,karaton,-6.3424,106.1045,79.0,94,75,2.3,ID,1613429459
327,cayenne,4.9333,-52.3333,77.0,94,0,10.8,GF,1613429088
328,yinchuan,38.4681,106.2731,30.11,70,0,1.41,CN,1613429459
329,ostrovnoy,68.0531,39.5131,3.34,92,100,10.87,RU,1613429070
330,omboue,-1.5746,9.2618,79.16,87,100,3.8,GA,1613429459
331,marsh harbour,26.5412,-77.0636,75.96,84,2,14.2,BS,1613429082
332,hambantota,6.1241,81.1185,74.34,85,56,11.1,LK,1613429147
333,guilin,25.2819,110.2864,60.8,88,90,4.47,CN,1613429460
334,athabasca,54.7169,-113.2854,1.4,51,86,9.22,CA,1613429461
335,abbeville,50.1,1.8333,46.0,83,100,10.42,FR,1613429461
336,heihe,50.2441,127.4902,-11.2,77,20,6.71,CN,1613429461
337,vila franca do campo,37.7167,-25.4333,55.4,71,20,18.41,PT,1613429121
338,sulangan,11.1373,123.7228,79.99,79,100,18.61,PH,1613429461
339,kahului,20.8947,-156.47,80.6,65,40,8.05,US,1613429095
340,hirara,24.8,125.2833,64.4,67,75,6.91,JP,1613429087
341,leh,34.1667,77.5833,4.69,67,0,2.93,IN,1613429056
342,iqaluit,63.7506,-68.5145,-7.6,71,40,13.8,CA,1613429144
343,emerald,-23.5333,148.1667,78.8,65,9,11.5,AU,1613429462
344,rio tercero,-32.173,-64.1141,64.99,95,75,1.99,AR,1613429462
345,tahe,52.3333,124.7333,-14.91,86,100,6.24,CN,1613429462
346,coolum beach,-26.5333,153.1,77.0,77,62,5.01,AU,1613429462
347,crawfordsville,40.0411,-86.8745,10.99,85,90,14.97,US,1613429462
348,zyryanovsk,49.7386,84.2719,4.69,87,58,0.16,KZ,1613429408
349,mokrousovo,55.8103,66.7653,-7.29,89,0,6.15,RU,1613429462
350,lamar,33.6668,-95.5836,12.99,62,1,13.8,US,1613429464
351,hebi,35.8992,114.1925,38.86,59,72,11.12,CN,1613429464
352,constitucion,-35.3333,-72.4167,60.31,76,33,6.91,CL,1613429464
353,mpongwe,-13.5091,28.155,61.7,84,100,4.18,ZM,1613429464
354,vilcun,-38.65,-72.2333,64.8,43,0,6.49,CL,1613429464
355,boulder city,35.9786,-114.8325,64.99,17,1,10.36,US,1613429465
356,great falls,47.5002,-111.3008,3.2,78,90,6.91,US,1613428939
357,ruidoso,33.3317,-105.673,28.4,64,1,12.66,US,1613429465
358,slavyanka,42.8633,131.3847,0.77,85,11,8.48,RU,1613429466
359,guerrero negro,27.9769,-114.0611,63.25,60,17,15.73,MX,1613429007
360,chuguyevka,44.1653,133.8633,-1.05,89,100,10.22,RU,1613429466
361,andrews,32.3187,-102.5457,15.8,73,90,6.29,US,1613429466
362,kattivakkam,13.2167,80.3167,71.6,88,20,3.65,IN,1613429466
363,kifri,34.6959,44.9661,63.57,35,0,9.53,IQ,1613429466
364,veroia,40.5233,22.2036,32.0,58,1,9.22,GR,1613429466
365,batagay,67.6333,134.6333,-28.46,83,0,2.73,RU,1613429467
366,ondjiva,-17.0667,15.7333,69.91,43,19,4.92,AO,1613429467
367,xai-xai,-25.0519,33.6442,78.53,88,100,12.5,MZ,1613429467
368,souillac,-20.5167,57.5167,78.8,89,75,4.61,MU,1613429097
